Confirmed, Key, LangType, KOR, CN, JAP, KOR_Service, No KOR
,"10101","JAP","지휘계통 오픈… 이제 화면에서 움직이고 싶은 방향을 누르고,\n여러분은 이쪽으로 이동할 수 있습니다!","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！","指挥系统开启……现在，按住屏幕上想移动的方向，\n大家就能向该方向移动！",O
,"10201","JAP","타겟을 클릭하여 AG를 움직이게 하면 AG는 타겟에 대해 현재 선택된 스킬을 즉시 사용하게 됩니다!","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！","通过点击目标让AG行动，AG会立即对目标使用当前选定的技能！",O
,"10301","JAP","지금 선정 기능을 전환하려고 시도합니다. 관뢰사류포를 선택해서 괴뢰 무리를 일거에 없애십시오!","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！","现在尝试切换选定技能，请选择「贯雷射流炮」一举消灭傀儡群！",O
,"10302","JAP","관뢰사류포를 사용하여 모든 괴뢰들을 공격하라!\n전체 범위 기능 사용 시, 임의의 목표를 선택하여 적 전체를 공격할 수 있습니다!","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！","使用「贯雷射流炮」，攻击全体傀儡！\n使用全体范围技能时，选择任意目标都可以攻击敌方全体！",O
,"10401","JAP","다루기 힘든 적을 만난 듯싶다.\n필살기를 사용할 적기다!","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！","似乎遇到了难缠的敌人，\n正是使用必杀技的最佳时机！",O
,"10402","JAP","필살기 「하타노에다이」가 이미 완성되었습니다!","必杀技「羽之依代」已就绪！","必杀技「羽之依代」已就绪！","必杀技「羽之依代」已就绪！",O
,"10501","JAP","일부 AG는 수동적인 기능을 가지고 있어 지정된 조건을 만족시키면 자동으로 트리거됩니다.\n스킬 아이콘을 길게 누르면 스킬에 대한 자세한 설명을 볼 수 있습니다. 다른 스킬에 맞추어 다른 전술로 구성할 수 있습니다!","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！","部分AG拥有被动技能，满足指定条件即可自动触发，\n长按技能图标，即可查看技能详细描述，配合其他技可以组成不同战术！",O
,"10601","JAP","모든 전희가 공격할 때, 동료의 도움을 받을 확률이 있다.\n니오의 기능 「종달새의 날 쫓기」는 반드시 도움말을 촉발할 수 있다!","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！","所有战姬攻击时，都有一定几率触发队友助攻\n妮欧的技能「云雀追刃」能必定触发助攻！",O
,"10602","JAP","팀 동료와 호흡을 맞춰 강적을 맞아라.","配合队友，迎击强敌吧！","配合队友，迎击强敌吧！","配合队友，迎击强敌吧！",O
,"10701","JAP","지휘관,\n우리 함선의 AG 전비기능은 복구되어 있어 이를 통해 AG의 기능을 강화할 수 있습니다.","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。","指挥官，\n我们舰船的AG战备功能已经修复，可以通过它来强化AG的技能。",O
,"10702","JAP","강화하고 싶은 거 선택해 주세요","请选择想要强化的技能","请选择想要强化的技能","请选择想要强化的技能",O
,"10703","JAP","강화 버튼을 눌러주세요","请点击强化按钮","请点击强化按钮","请点击强化按钮",O
,"10704","JAP","하지만 기능 강화에는 '디코딩 칩'과 비용이 든다.","不过，强化技能需要消耗“解码芯片”和一定的资金。","不过，强化技能需要消耗“解码芯片”和一定的资金。","不过，强化技能需要消耗“解码芯片”和一定的资金。",O
,"10705","JAP","AG의 전투능력을 향상시키기 위해\n이 정도의 작은 지불은 분명히 가치가 있습니다.당신은 적극적으로 재료를 수집해서 여러분이 끊임없이 강해질 수 있도록 하세요.","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。","为了提升AG的战斗能力，\n这点小小的付出肯定是值得的，请您积极收集材料，让大家不断变强吧。",O
,"10801","JAP","지휘관님, 우리는 새로운 구성원이 가입했습니다!\n편대 플랫폼을 선택해 '편대'를 진행해보세요!","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！","指挥官，我们有新成员加入了！\n请选择编队平台进行“编队”吧！",O
,"10802","JAP","우리는 “편대” 인터페이스를 통해 작전소대를 관리할 수 있다.\n클릭해서 들어가 보세요!","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！","我们可以通过“编队”界面来管理作战小队，\n点击进去看看吧！",O
,"10803","JAP","각 소대별로 4개의 포지션을 선택할 수 있으며, 그 중 1번 포지션은 적의 표적이 되기 쉬울 것이다.\nAG의 특성을 살려 적절한 전술 포지션을 선택하세요!","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！","每个小队有4个位置可以选择，其中1号位会更容易成为敌人的攻击目标，\n结合AG的特性，为大家选择一个合适的战术位置吧！",O
,"10804","JAP","지난 전투 후, 새로운 AG 백조 마거트는 이미 우리에게 합류했다.\n이제 그를 대열에 합류시키자.","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。","上一场战斗后，新的AG「天鹅」玛格特已经加入我们了，\n现在，让我们把他加入到队伍中。",O
,"10805","JAP","스완 마거트를 선택하십시오.","请选中「天鹅」玛格特。","请选中「天鹅」玛格特。","请选中「天鹅」玛格特。",O
,"10806","JAP","클릭해 입단시켜 정식 입단시켜라!","点击入队，让她正式加入队伍吧！","点击入队，让她正式加入队伍吧！","点击入队，让她正式加入队伍吧！",O
,"10807","JAP","좋아, 마거트는 이미 작전 소대에 입대했어.\n그 후 우리는 함께 싸울 동료다!","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！","很好，玛格特已经加入作战小队。！\n之后，我们就是并肩作战的同伴了！",O
,"10901","JAP","특수 부대 「벨트」의 지휘관으로서, 당신은 아직 알아야 할 많은 일이 있습니다.\n제가 하나하나 설명해 보겠습니다.","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。","作为一个特殊部队「纽带」的指挥官，您还有很多事务需要了解\n下面就让我来逐一说明吧。",O
,"10902","JAP","당신의 AG부대가 빠르게 적응하고 성장할 수 있도록,\n전선과 오토루나는 우리를 위해 훈련과 임무를 준비했다.","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。","为了让您的AG部队迅速地适应和成长，\n阵线与奥托露娜为我们准备了一些训练与任务。",O
,"10903","JAP","훈련은 여러 단계로 나뉜다.\n한 단계의 모든 임무를 수행한 후에야 다음 단계를 진행할 수 있다.","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。","训练分为多个阶段\n完成一个阶段所有任务后，才能进行下一阶段。",O
,"10904","JAP","각 단계에서의 임무 역시 점진적으로 완성해야 한다.\n그러니 일단 '1단계' 훈련부터 끝내자.","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！","每个阶段中的任务同样需要逐步完成\n所以，先完成“第一阶段”的训练吧！",O
