Confirmed, Source, KOR
,"★3 AG의 스킬 레벨업에 사용","★3 AG의 스킬 레벨업에 사용"
,"★4 AG의 스킬 레벨업에 사용","★4 AG의 스킬 레벨업에 사용"
,"【中级解码芯片】","[중급 디코딩 칩]"
,"【信物】","【신물】"
,"【初级解码芯片】","[1차 디코딩 칩]"
,"【压制暗区】是面向有经验的指挥官所准备的高难作战行动，请指挥官做好准备","[암전 제압] 경험 많은 지휘관들을 상대로 한 고난도 작전이다."
,"【同盟】是指挥官与其他玩家之间交流互动的平台","[동맹] 지휘관과 다른 플레이어 간의 교류의 장"
,"【同盟】的签到率达到一定程度时，所有同盟成员都可获得签到率奖励。","[동맹]의 출석률이 일정 수준에 도달하면 모든 동맹원에게 출석률 인센티브가 주어진다."
,"【异变航点】每周都会进行刷新，刷新后将会根据指挥官上期航点进度进行扫荡","[이변항로] 매주 쇄신, 쇄신 후 지휘관 전 항로 진도에 따라 소탕"
,"【总力挑战】为赛季玩法，BOSS将会每周更换属性，测试赛季不更换属性。","[총력 도전] 보스는 시즌 플레이를 위해 매주 속성을 바꾸고 시즌에는 속성을 바꾸지 않는 테스트를 한다."
,"【总力挑战】是面向有大量作战经验的指挥官所准备的挑战行动，当指挥官等级达到行动要求时，【总力挑战】将会解锁。","[총력도전]은 작전 경험이 많은 지휘관을 대상으로 한 도전행동으로 지휘관 계급이 행동요건에 도달하면 [총력도전]의 잠금이 해제된다."
,"【探索舰】是舰队中可以将AG进行派遣，采集资源的设施。","탐색함은 함대에서 AG를 파견해 자원을 채취할 수 있는 시설이다."
,"【沙海寻宝】共包含三张拼图，每张拼图都会有7片大碎片。当七张碎片收集完成，且完成拼图后，将会获得该拼图的奖励。","[사해 보물찾기] 퍼즐은 총 3장으로 구성돼 있으며, 각 퍼즐에는 7개의 큰 조각이 들어 있다.7개의 조각 수집이 완료되고 퍼즐이 완료되면 해당 퍼즐에 대한 보상을 받게 됩니다."
,"【沙海寻宝】是一种拼图类型的探索小游戏。","[모래바다 보물찾기]는 퍼즐 장르의 작은 탐색 게임입니다."
,"【资源获取】共分为捕获猫球，赏金任务两种玩法。每种玩法在完成后都会掉落相对应的大量资源。","【자원 획득】캣볼 포획, 현상금 미션의 두 가지 게임으로 나뉜다.각 플레이가 완료되면 그에 상응하는 많은 양의 리소스가 떨어집니다."
,"【限时活动】当中完成活动关卡一定进度后，将开启限时BOSS挑战","[한정 이벤트] 이벤트 관문 일정 진행 완료 후 한시 보스 챌린지 오픈"
,"【기간한정】에는 이벤트에 관한 탐색미니게임이 있을 수 있습니다.","【기간한정】에는 이벤트에 관한 탐색미니게임이 있을 수 있습니다."
,"【기간한정 이벤트】에서 탐색미니게임을 클리어하면 추가 보상을 획득할 수 있습니다.【기간한정 이벤트】가 종료되면 탐색미니게임도 종료되므로 주의해 주세요.","【기간한정 이벤트】에서 탐색미니게임을 클리어하면 추가 보상을 획득할 수 있습니다.【기간한정 이벤트】가 종료되면 탐색미니게임도 종료되므로 주의해 주세요."
,"【기술 코드】","【기술 코드】"
,"【다크 지역의 억제】는 경험이 있는 지휘관에게 준비된 고난이도 전투 행동입니다.잘 준비해주세요.","【다크 지역의 억제】는 경험이 있는 지휘관에게 준비된 고난이도 전투 행동입니다.잘 준비해주세요."
,"【동맹】내의 위클리 임무에 들어가, 임무를 클리어하면 보급으로 레어 아이템과 교환할 수 있는 [동맹 카드]를 받을 수 있습니다.","【동맹】내의 위클리 임무에 들어가, 임무를 클리어하면 보급으로 레어 아이템과 교환할 수 있는 [동맹 카드]를 받을 수 있습니다."
,"【동맹】의 로그인율이 일정 레벨에 도달하면, 동맹 멤버 전원이 로그인율 보상을 획득할 수 있습니다.","【동맹】의 로그인율이 일정 레벨에 도달하면, 동맹 멤버 전원이 로그인율 보상을 획득할 수 있습니다."
,"【사해의 보물찾기】는 퍼즐타입의 탐색미니게임입니다.","【사해의 보물찾기】는 퍼즐타입의 탐색미니게임입니다."
,"【사해의 보물찾기】에는 3장의 퍼즐이 있습니다. 각 퍼즐에는 7장의 큰 피스가 있습니다. 7장의 피스를 모아 퍼즐을 완성하면 해당 퍼즐의 보상을 획득할 수 있습니다","【사해의 보물찾기】에는 3장의 퍼즐이 있습니다. 각 퍼즐에는 7장의 큰 피스가 있습니다. 7장의 피스를 모아 퍼즐을 완성하면 해당 퍼즐의 보상을 획득할 수 있습니다"
,"【서류】","【서류】"
,"【이화항점】은 매주 갱신되며, 항점 진척 상황에 따라 소탕이 이루어집니다.","【이화항점】은 매주 갱신되며, 항점 진척 상황에 따라 소탕이 이루어집니다."
,"【자원 획득】에는 무스 포획과 상금 임무의 2개의 스테이지가 존재하고 있으며, 클리어함으로써 대량의 자원을 획득할 수 있습니다.","【자원 획득】에는 무스 포획과 상금 임무의 2개의 스테이지가 존재하고 있으며, 클리어함으로써 대량의 자원을 획득할 수 있습니다."
,"【중급 기술 코드】","【중급 기술 코드】"
,"【초급 기술 코드】","【초급 기술 코드】"
,"【총력도전】은 대량의 작전경험을 가진 지휘관을 위한 도전행동으로, 지휘관 레벨이 행동의 조건을 충족하게 되면 【총력도전】이 해제됩니다.","【총력도전】은 대량의 작전경험을 가진 지휘관을 위한 도전행동으로, 지휘관 레벨이 행동의 조건을 충족하게 되면 【총력도전】이 해제됩니다."
,"【총력도전】은 시즌제입니다. BOSS는 매주 속성이 변합니다. 테스트 시즌은 속성이 변하지 않습니다.","【총력도전】은 시즌제입니다. BOSS는 매주 속성이 변합니다. 테스트 시즌은 속성이 변하지 않습니다."
,"【탐색함】은 함대 내에서 AG를 파견시켜 자원을 수집할 수 있는 시설입니다.","【탐색함】은 함대 내에서 AG를 파견시켜 자원을 수집할 수 있는 시설입니다."
,"【한정 이벤트】내에서 이벤트 스테이지를 어느 정도 진행하면, 한정 BOSS 도전이 개방됩니다.","【한정 이벤트】내에서 이벤트 스테이지를 어느 정도 진행하면, 한정 BOSS 도전이 개방됩니다."
,"【한정 이벤트】에는 메인으로부터 독립된 사이드 스토리와 이벤트 스테이지가 있습니다.","【한정 이벤트】에는 메인으로부터 독립된 사이드 스토리와 이벤트 스테이지가 있습니다."
,"三种核心按照【<color=#42ebff>电磁</color>＞<color=#ff4242>热熔</color>＞<color=#6ef258>苍晶</color>＞<color=#42ebff>电磁</color>】的顺序产生属性克制。","세 가지 핵심을 []에 따른다.<color=#42ebff>전자기</color>＞<color=#ff4242>핫멜트</color>＞<color=#6ef258>창정</color>＞<color=#42ebff>전자기</color>] 의 순서에 따라 속성 자제가 발생합니다."
,"不同的家具套装将会提供不同的舒适度加成，指挥官可以在仓库中确认拥有的家具套装","가구 세트에 따라 상이한 쾌적도 부가 제공되며, 지휘관은 창고에서 보유 가구 세트를 확인할 수 있습니다."
,"不同的派遣任务所消耗的时间、条件、奖励都有所不同，请指挥官合理规划。","파견 임무에 따라 걸리는 시간, 조건, 인센티브가 다르니 지휘관이 합리적으로 계획해 주시기 바랍니다."
,"与【勋章】","【훈장】과"
,"且任务挑战奖励为同盟内全体成员共享。","또한 미션 챌린지 인센티브는 동맹 내 모든 구성원에게 공유됩니다."
,"主线CG：通过完成主线关卡，观看主线剧情，解锁可用主线CG桌面。","메인라인 CG: 메인라인 관문을 완성하여 메인라인의 줄거리를 보고, 메인라인 CG 데스크톱을 잠금 해제한다."
,"人物头像越靠下，头像下方的百分数越接近<color=#FF0000>100%</color>，则越先出手。","인물 프로필 사진이 아래쪽에 있을수록 프로필 사진 아래쪽의 백분율이 더 가까워진다<color=#FF0000>100%</color>먼저 나설수록."
,"作为奖励。","상으로."
,"修复：恢复我方角色的生命，保护我方角色生存","복구 : 우리측 캐릭터의 생명을 회복하고 우리측 캐릭터의 생존을 보호함"
