Confirmed, Source, KOR
,"偏斜判定","스큐 판정"
,"压制暗区","암구를 제압하다."
,"同盟奖励","동맹포상"
,"同盟建设","동맹 건설"
,"同盟战况","동맹 전황"
,"属性-电磁","속성-전자성"
,"总力挑战","총력 도전하다."
,"持续伤害效果","지속상해효과"
,"探索舰","탐색함"
,"支援AG","지원 AG"
,"效果判定","효과판정"
,"桌面解锁","데스크톱 잠금 해제"
,"沙海寻宝","사해에서 보물을 찾다."
,"演习奖励","훈련 장려"
,"熔隙通路","용극 통로"
,"特殊增强","특수증강"
,"特殊弱化","특수약화"
,"章节目标","장절 목표"
,"自动战斗","자동전투"
,"舒适度","쾌적도"
,"行动顺序","행동순서"
,"被克制效果","피억제효과"
,"装备合成","장비 합성"
,"装备品质","장비품질"
,"资源获取","자원 획득"
,"附加属性","추가 속성"
,"다크 에어리어 억제","다크 에어리어 억제"
,"동맹의 전황","동맹의 전황"
,"동맹 구축","동맹 구축"
,"동맹 보수","동맹 보수"
,"마그마 레인","마그마 레인"
,"벽지 언록","벽지 언록"
,"부가속성","부가속성"
,"사해의 보물찾기","사해의 보물찾기"
,"오토전투","오토전투"
,"자원 획득","자원 획득"
,"장비랭크","장비랭크"
,"장비의 합성","장비의 합성"
,"전격","전격"
,"지속대미지 효과","지속대미지 효과"
,"지원AG","지원AG"
,"챕터 목표","챕터 목표"
,"총력도전","총력도전"
,"치우침 판정","빗맞음 판정"
,"쾌적도를 확인할 수 있습니다.","쾌적도를 확인할 수 있습니다."
,"탐색함","탐색함"
,"특수 디버프","특수 디버프"
,"특수 버프","특수 버프"
,"피억제효과에 대해서","피억제효과에 대해서"
,"행동순서","행동순서"
,"효과의 판정","효과의 판정"
,"훈련보상","훈련보상"
,"AG好感度","AG 호감도"
,"AG技能","AG 기능"
,"AG类型","AG 유형"
,"AG스킬","AG스킬"
,"AG타입","AG타입"
,"AG호감도","AG호감도"
,"BOSS挑战","보스 챌린지"
,"BOSS 도전","BOSS 도전"
