Confirmed, Source, KOR
,"★3 AG의 스킬 레벨업에 사용","★3 AG의 스킬 레벨업에 사용"
,"★3AGのスキル強化に使用できます。","★3AG의 스킬 강화에 사용할 수 있습니다."
,"★4 AG의 스킬 레벨업에 사용","★4 AG의 스킬 레벨업에 사용"
,"★4AGのスキル強化に使用できます。","★ 4AG의 스킬 강화에 사용할 수 있습니다."
,"。また同盟カードは同盟建設内で獲得することもできます。","동맹카드는 동맹건설 내에서 획득할 수도 있습니다."
,"「指令経験値」を獲得することで「指令完成度」が進み、一定の値に達すると「指令Lv」が上昇し報酬を獲得できます。","「지령 경험치」를 획득함으로써 「지령 완성도」가 진행되고, 일정한 값에 도달하면 「지령 Lv」가 상승해 보수를 획득할 수 있습니다."
,"「特級オーダー」は購入することで、「上級オーダー報酬」を開放でき、さらに特別な報酬も獲得できます。","'특급 오더'는 구입을 통해 '상급 오더 보수'를 개방할 수 있으며, 더 나아가 특별한 보상도 획득할 수 있습니다."
,"【ダークエリアの抑制】は経験のある指揮官に用意された高難易度の戦闘行動です。しっかり準備してください","【다크 지역의 억제】는 경험이 있는 지휘관에게 준비된 고난이도 전투 행동입니다.잘 준비해주세요."
,"【中級技術コード】","[중급 기술 코드]"
,"【初級技術コード】","[초급 기술 코드]"
,"【同盟】とは指揮官と他のプレイヤーが交流するプラットフォーム","[동맹]이란 지휘관과 다른 플레이어가 교류하는 플랫폼"
,"【同盟】のログイン率が一定レベルに達すると、同盟メンバー全員がログイン率報酬を獲得できます。","【동맹】의 로그인율이 일정 레벨에 도달하면, 동맹 멤버 전원이 로그인율 보상을 획득할 수 있습니다."
,"【同盟】内のウィークリー任務に入り、任務をクリアすると補給でレアアイテムと交換できる【同盟カード】がもらえます","【동맹】내의 위클리 임무에 들어가, 임무를 클리어하면 보급으로 레어 아이템과 교환할 수 있는 [동맹 카드]를 받을 수 있습니다."
,"【技術コード】","[기술 코드]"
,"【探索艦】は艦隊内でAGを派遣させ、資源を収集することができる施設です。","【탐색함】은 함대 내에서 AG를 파견시켜 자원을 수집할 수 있는 시설입니다."
,"【書類】","【서류】"
,"【異化航点】は毎週更新され、航点進捗状況に応じて掃討が行われます。","【이화항점】은 매주 갱신되며, 항점 진척 상황에 따라 소탕이 이루어집니다."
,"【砂海の宝探し】には3枚のパズルがあります。各パズルにはそれぞれ7枚の大きなピースが存在します。7枚のピースをそろえ、パズルを完成させると、そのパズルの報酬を獲得できます。","【모래 바다의 보물 찾기】에는 3장의 퍼즐이 있습니다.각 퍼즐에는 각각 7장의 큰 조각이 존재합니다.7장의 조각을 갖추고 퍼즐을 완성하면 그 퍼즐에 대한 보상을 획득할 수 있습니다."
,"【砂海の宝探し】はパズルタイプの探索ミニゲームです。","【모래 바다의 보물 찾기】는 퍼즐 타입의 탐색 미니 게임입니다."
,"【総力戦】はシーズン制となっており、ボスの属性が毎週変化します。ただし、テストシーズンでは属性は変化しません。","[총력전]은 시즌제로, 보스의 속성이 매주 변화합니다.단, 테스트 시즌에서는 속성은 변화하지 않습니다."
,"【総力戦】は経験豊富な指揮官向けの挑戦ステージです。指定の指揮官レベルに到達すると、【総力戦】が解放されます。","【총력전】은 경험이 풍부한 지휘관을 위한 도전 스테이지입니다.지정된 지휘관 레벨에 도달하면 [총력전]이 해방됩니다."
,"【資源獲得】にはムース捕獲と賞金任務の2つのステージが存在しており、クリアすることで大量の資源を獲得できます。","【자원 획득】에는 무스 포획과 상금 임무의 2개의 스테이지가 존재하고 있으며, 클리어함으로써 대량의 자원을 획득할 수 있습니다."
