Confirmed, Source, KOR, HelpId
,"属性","속성","100100"
,"具有<color=#0066CC>电磁</color>属性的单位将会对具有<color=#FF0000>热熔</color>属性的单位产生克制效果","가지다<color=#0066CC>전자기</color>속성의 단위는 쌍을 이루게 될 것이다.<color=#FF0000>뜨거운 용해</color>속성의 단위는 억제 효과를 낸다.","100101"
,"具有<color=#00BB00>苍晶</color>属性的单位将会对具有<color=#0066CC>电磁</color>属性的单位产生克制效果","가지다<color=#00BB00>창정</color>속성의 단위는 쌍을 이루게 될 것이다.<color=#0066CC>전자기</color>속성의 단위는 억제 효과를 낸다.","100101"
,"具有<color=#FF0000>热熔</color>属性的单位将会对具有<color=#00BB00>苍晶</color>属性的单位产生克制效果","가지다<color=#FF0000>뜨거운 용해</color>속성의 단위는 쌍을 이루게 될 것이다.<color=#00BB00>창정</color>속성의 단위는 억제 효과를 낸다.","100101"
,"同时将会被具有<color=#0066CC>电磁</color>属性的单位克制。","동시에 갖게 될 것이다.<color=#0066CC>전자기</color>속성의 단위 자제.","100101"
,"同时将会被具有<color=#00BB00>苍晶</color>属性的单位克制。","동시에 갖게 될 것이다.<color=#00BB00>창정</color>속성의 단위 자제.","100101"
,"同时将会被具有<color=#FF0000>热熔</color>属性的单位克制。","동시에 갖게 될 것이다.<color=#FF0000>뜨거운 용해</color>속성의 단위 자제.","100101"
,"属性克制","속성 자제","100101"
,"属性-热熔","속성 - 열융착","100101"
,"属性-电磁","속성 - 전자기","100101"
,"属性-苍晶","속성 - 창정","100101"
,"无论是AG还是敌人，都会拥有其固定的核心类型。","AG든 적이든 고정된 핵심 유형을 갖게 된다.","100101"
,"表现在敌人详情或战姬详情当中。","적상세 또는 전희상세에서 나타난다.","100101"
,"<color=#0066CC>电磁</color>是目前已知的属性之一,以<color=#0066CC>蓝色</color>","<color=#0066CC>전자기</color>현재 알려진 속성 중의 하나이다.<color=#0066CC>푸른 색</color>","100101"
,"<color=#00BB00>苍晶</color>是目前已知的属性之一,以<color=#00BB00>绿色</color>","<color=#00BB00>창정</color>현재 알려진 속성 중의 하나이다.<color=#00BB00>녹색</color>","100101"
,"<color=#FF0000>热熔</color>是目前已知的属性之一,以<color=#FF0000>红色</color>","<color=#FF0000>뜨거운 용해</color>현재 알려진 속성 중의 하나이다.<color=#FF0000>붉은색</color>","100101"
,"三种核心按照【<color=#0066CC>电磁</color>＞<color=#FF0000>热熔</color>＞<color=#00BB00>苍晶</color>＞<color=#0066CC>电磁</color>】的顺序产生属性克制。","세 가지 코어는 [[/ref]대로]<color=#0066CC>전자기</color>＞<color=#FF0000>뜨거운 용해</color>＞<color=#00BB00>창정</color>＞<color=#0066CC>전자기</color>순서가 속성 자제를 낳는다.","100102"
,"克制效果","억제효과","100102"
,"当使用优势属性进行攻击时，攻击所产生的伤害量将提升<color=#FF0000>10%</color>，<color=#FF0000>暴击率提升15%</color>。","우위 속성을 이용한 공격 시 공격으로 인한 피해량이 증가한다<color=#FF0000>10%</color>，<color=#FF0000>폭격률 15%향상</color>。","100102"
,"当使用劣势属性进行攻击时敌方将会有50%的几率偏斜该次攻击。\n偏斜造成的<color=#0066CC>伤害降低25%</color>，且攻击所携带的效果将无法附加，战斗中造成偏斜的伤害将以灰色数字体现在外显数字当中。","열등한 속성을 사용하여 공격할 경우 상대방이 50%의 확률로 이 공격이 빗나갈 수 있다.\n비스듬히 기울임<color=#0066CC>상해 25%감소</color>또 공격에 따른 효과를 부가할 수 없고, 전투 중 기울어진 피해를 회색 숫자로 드러낸다.","100102"
,"目前已发现的核心分别为：","현재 발견된 핵심은 각각 다음과 같다.","100102"
,"被克制效果","억제된 효과","100102"
,"<color=#0066CC>电磁</color>、","<color=#0066CC>전자기</color>、","100102"
,"<color=#00BB00>苍晶</color>。","<color=#00BB00>창정</color>。","100102"
,"<color=#FF0000>热熔</color>以及","<color=#FF0000>뜨거운 용해</color>그리고","100102"
,"状态效果","상태 효과","100200"
,"增强效果","강화효과","100201"
,"攻击增强","공격이 강화","100201"
,"特殊增强","특수강화","100201"
,"防御增强","방어가 강화되다","100201"
," <color=#42ebff>不屈：</color>状态持续回合内不会死亡，受到致命伤害会以1点生命值存活"," <color=#42ebff>불굴:</color>상태 지속 라운드에는 죽지 않고 치명상을 입으면 1포인트 생명치로 살아남는다.","100201"
," <color=#42ebff>免疫：</color>不会被新产生的减益状态及效果影响"," <color=#42ebff>면역:</color>새롭게 발생하는 감익 상태 및 효과에 영향을 받지 않음","100201"
," <color=#42ebff>反击率上升：</color>反击率上升100%"," <color=#42ebff>반격률 상승:</color>반격률 100%상승","100201"
," <color=#42ebff>反射：</color>反射一定量的伤害"," <color=#42ebff>반사:</color>일정량의 상해를 반사하다.","100201"
," <color=#42ebff>命中率上升：</color>命中率上升30%"," <color=#42ebff>적중률 상승:</color>적중률이 30%상승하다","100201"
," <color=#42ebff>命中率大幅上升：</color>命中率上升45%"," <color=#42ebff>명중률이 대폭 상승하다.</color>명중률 45%상승","100201"
," <color=#42ebff>回避率上升：</color>回避率上升50%"," <color=#42ebff>회피율 상승:</color>회피율이 50%상승하다.","100201"
