Confirmed, Source, KOR
,"オート戦闘","오토 전투"
,"ダークエリアの抑制","다크 에어리어 억제"
,"チャプター目標","챕터 목표"
,"マグマレーン","마그마레인"
,"偏り判定","편향 판정"
,"効果の判定","효과 판정"
,"同盟の戦況","동맹의 전황"
,"同盟報酬","동맹 보수"
,"同盟構築","동맹 구축"
,"壁紙のアンロック","벽지 언록"
,"快適度を確認することができます","쾌적도를 확인할 수 있습니다."
,"持続ダメージ効果","지속 데미지 효과"
,"探索艦","탐색함"
,"支援AG","지원 AG"
,"演習報酬","연습 보수"
,"特殊デバフ","특수 디버프"
,"特殊バフ","특수 버프"
,"砂海の宝探し","모래바다의 보물찾기"
,"総力戦","총력전"
,"艦隊指令","함대 지령"
,"行動順序","행동 순서"
,"被抑制効果について","피억제 효과에 대해서"
,"装備の合成","장비의 합성"
,"装備ランク","장비 등급"
,"資源獲得","자원 획득"
,"追加属性","추가 속성"
,"電撃","전격"
,"다크 에어리어 억제","다크 에어리어 억제"
,"동맹의 전황","동맹의 전황"
,"동맹 구축","동맹 구축"
,"동맹 보수","동맹 보수"
,"마그마 레인","마그마 레인"
,"벽지 언록","벽지 언록"
,"부가속성","부가속성"
,"사해의 보물찾기","사해의 보물찾기"
,"오토전투","오토전투"
,"자원 획득","자원 획득"
,"장비랭크","장비랭크"
,"장비의 합성","장비의 합성"
,"전격","전격"
,"지속대미지 효과","지속대미지 효과"
,"지원AG","지원AG"
,"챕터 목표","챕터 목표"
,"총력도전","총력도전"
,"치우침 판정","빗맞음 판정"
,"쾌적도를 확인할 수 있습니다.","쾌적도를 확인할 수 있습니다."
,"탐색함","탐색함"
,"특수 디버프","특수 디버프"
,"특수 버프","특수 버프"
,"피억제효과에 대해서","피억제효과에 대해서"
,"함대 지령","함대 지령"
,"행동순서","행동순서"
,"효과의 판정","효과의 판정"
,"훈련보상","훈련보상"
,"AGスキル","AG 스킬"
,"AGタイプ","AG 타입"
,"AG信頼度","AG 신뢰도"
,"AG스킬","AG스킬"
,"AG타입","AG타입"
,"AG호감도","AG호감도"
,"BOSS挑戦","BOSS 도전"
,"BOSS 도전","BOSS 도전"
