Confirmed, Key, Source, KOR
O,"100010000","<color=#9dd0ff>所有ArteryGear请注意——</color>","<color=#9dd0ff>모든 Artery Gear들은 주의하세요——</color>"
O,"100010001","<color=#9dd0ff>目前高度6000，已侦测到傀儡感染区域，开始有序投送各单位。</color>","<color=#9dd0ff>현재 고도는 6000. 괴뢰 감염 구역이 탐지되었습니다, 각 유닛을 순차적으로 송출하므로 주의해 주세요.</color>"
O,"100010002","<color=#9dd0ff>尝试接入指挥官频道……</color>","<color=#9dd0ff>지휘관 채널 접속 시도..</color>"
O,"100010003","<color=#9dd0ff>……信号丢失……再次尝试链接……</color>","<color=#9dd0ff>...연결 실패 ...연결을 재시도합니다.</color>"
O,"100010004","<color=#9dd0ff>……链接失败……启用预案，呼叫编号AG-01B妮欧。</color>","<color=#9dd0ff>... 연결 실패 ...계획대로 AG-01B 니오를 기동합니다.</color>"
O,"100010005","状况已了解，请将我登录为临时指挥官。","알겠습니다, 저를 임시 지휘관으로 동록해 주세요."
O,"100010006","<color=#9dd0ff>确认权限……妮欧，二级军士长，识别编号为AG-01B。</color>","<color=#9dd0ff>권한 확인 완료…니오, 2급 군단장, 식별번호는 AG-01B입니다.</color>"
O,"100010007","<color=#9dd0ff>通告全队，已将妮欧登录为本次作战的临时指挥官，打开指挥频道。</color>","<color=#9dd0ff>전 부대에 알립니다, 현재 니오가 이번 작전의 임시 지휘관으로 임명되었습니다.</color>"
O,"100010008","大家，立刻展开舱门，做好抗冲击准备——","모두들 지금부터 해치를 열고 충격에 대비해-"
O,"100010009","……夺回「奥特兰德号」行动正式开始！","…지금부터 오토랜드호 탈환 작전을 시작한다!"
O,"100010010","<color=#969696>指挥官……我马上就来。</color>","<color=#969696>지휘관님…곧 갈게요.</color>"
O,"100020000","<color=#9dd0ff>降落成功，已抵达「奥特兰德号」甲板。</color>","<color=#9dd0ff>착륙 성공, “오토랜드호” 갑판에 도착했다.</color>"
O,"100020001","布鲁，没事吧？","브루, 괜찮아?"
O,"100020002","降落出了些小状况，没有受伤，可以继续行动喵！","약간의 해프닝이 있긴 했지만 다친 곳은 없다냥!"
