Confirmed, Source, KOR
O,"“康德尔”","“콘도르”"
O,"「沙漠兔」（暂定）","「사막토끼」 (잠정)"
O,"「白兔」僚机","「하얀토끼」 호위기"
O,"上级傀儡","상급 괴뢰"
O,"上级傀儡师","상급 괴뢰사단"
,"不普通的少女？","평범하지 않은 소녀?"
O,"东云","시노노메"
,"丽姬特","리히터"
O,"丽萨·奥托露娜","리사·오토루나"
O,"乌鸦外表的AG","까마귀 겉모습의 AG"
,"二人","두 사람"
O,"人体模型？","인체형모델?"
O,"人类议会领导者#2","인간 의회 지도자 #2"
O,"人马型傀儡","인마형 괴뢰"
,"伊丝姆","이심"
O,"伊莎贝尔","이자벨"
O,"伊莎贝尔的讯息","이자벨의 메시지"
O,"伊莎贝尔&夏洛蒂","이자벨&샤를롯"
O,"伊贝丽丝","이베리스"
O,"众人","여러 사람"
O,"低贡献区的房屋中介","저공헌구역의 주택중개"
O,"佩佩","페페"
O,"佩蕾","페레"
,"侍从","시종"
O,"保镖模样的AG","보디가드형 AG"
O,"修罗","수라"
O,"傀儡","괴뢰"
O,"傀儡化的克拉丽丝","괴뢰화된 클래리스"
,"傀儡化的尤伊","괴뢰화된 유이"
,"傀儡化的德拉","괴뢰화된 델라"
O,"傀儡化的机械","괴뢰화된 기계"
O,"傀儡化的重装型AG","괴뢰화된 중장형 AG"
O,"傀儡化的AG","괴뢰화된 AG"
O,"傀儡化AG","괴뢰화AG"
O,"傀儡师","괴뢰술사"
,"傻气的声音","어수룩한 목소리"
O,"克拉丽丝","클라리스"
,"克拉丽丝的声音","클래리스의 목소리"
,"克拉肯","크라켄"
O,"克罗娅斯","코락스"
O,"全员","전원"
O,"全身漆黑的傀儡","칠흑같은 괴뢰"
O,"全身漆黑的傀儡师","칠흑같은 괴뢰군"
,"共通频道","공통 채널"
O,"兴致全无的听众","흥미가 전혀 없는 청중"
O,"其他六位AG","나머지 6인의 AG"
O,"军火贩","무기 판매상"
,"冷淡的声音","싸늘한 목소리"
,"净化者AG们","정화자 AG들"
O,"凉风","료우후"
O,"凉风&希里乌斯","료우후&시리우스"
O,"凯蒂","케이티"
,"凯蒂的声音","케이티의 목소리"
O,"出云","이즈모"
,"刘星瑶","류싱야오"
O,"北斗","호쿠토"
O,"医护员","의료진"
O,"医护长","의료장"
O,"千岁","치토세"
O,"千早","치하야"
O,"千羽","센바"
O,"卡佩拉","카펠라"
O,"卡佩拉&妮欧","카펠라&니오"
O,"卡罗琳","캐롤라인"
O,"卡西","캐시"
,"卡西的声音","카시의 목소리"
O,"厄里芬","에리펜"
O,"参与营救的AG士兵","구조에 참여한 AG 병사"
,"发出电子女声的猫球芯片","전자녀 소리 내는 캣볼 칩"
O,"变成傀儡师的康德尔","괴뢰로 변한 콘도르"
O,"古蕾","그레이"
O,"古蕾、哈丝妲","그레이, 하스타"
O,"古蕾的声音","그레이의 목소리"
,"另一个绯闻主编","또 다른 스캔들 편집장"
O,"另一位空降师团的AG","또 다른 공수사단의 AG"
,"另一位第二通天港居民","또 다른 제2 통천항 주민"
O,"另一位路过的市民","또 다른 한 명의 지나가는 시민"
O,"另一位通天港的居民","또 다른 통천항의 주민"
,"另一位酒吧熟客","다른 술집 단골손님"
,"另一位酒吧的常客","다른 술집의 단골손님"
O,"可琳姆","크림"
O,"可琳姆的母亲","크림의 어머니"
O,"可琳姆的父亲","크림의 아버지"
O,"同学","동창"
,"听口供的指挥官","자백을 듣는 지휘관"
O,"听曲犯困的听众","청곡에 지친 청중"
O,"哈丝妲","하스타"
O,"哈丝妲的声音","하스타의 목소리"
O,"哈拉尔德","해럴드"
,"噗尼","푸니"
,"噗尼猫球","푸니캣볼"
,"嚣张的少女","날뛰는 소녀"
O,"回答者","응답자"
O,"在场的AG们","현장의 AG들"
,"坚定的声音","꿋꿋한 목소리"
O,"堕落骑士","타락한 기사"
O,"士兵","병사"
O,"夏洛蒂","샤를롯"
O,"夏洛蒂&希尔维娅","샤를롯&실비아"
O,"大量人体模型？","대량의 인체형모델?"
O,"天青之翼","푸른하늘의 날개"
O,"失踪的学生","실종된 학생"
O,"头上缠着绷带的病患","머리에 붕대를 감은 환자"
O,"奈莎","나이사"
O,"奈莫菲拉","네모필라"
O,"奎因","퀸"
O,"奎因的声音","퀸의 목소리"
O,"奥妮安","오니안"
O,"奥托露娜官方新闻","오토루나 공식 뉴스"
O,"奥托露娜广播","오토루나 방송"
,"奥托露娜本土检察官","오토루나 현지 검사"
O,"奥托露娜的通讯员","오토루나의 통신원"
O,"奥托露娜的骑士们","오토루나의 기사들"
O,"奥托露娜通讯员","오토루나 통신원"
O,"女人","여자"
O,"女性研究员","여성 연구원"
O,"女研究员","여성 연구원"
O,"女顾客","여성 고객"
O,"妮娜","니나"
O,"妮欧","니오"
,"妮欧、零四","니오, 04"
,"妮欧的声音","니오의 목소리"
,"妮欧？","니오?"
O,"妮欧&梅尔&蕾拉&零四","니오&멜&레이라&04"
O,"妮欧&零四","니오&04"
O,"娅诗塔","아시타"
,"守望者","파수꾼"
O,"安杰丽卡","안젤리카"
O,"安杰丽卡的母亲","안젤리카 어머니"
O,"安杰丽卡.","안젤리카."
O,"安特蕾斯","앤트레스"
O,"安迪","앤디"
