Confirmed, Source, KOR
,"……","……"
,"……不行，我有自己的判断。","...안돼요.내 나름의 판단이 있어요."
,"……交给你了，米尔维斯。","…너에게 맡겨라, 밀비스."
,"……你们要是能一直留在这个世界该有多好。","당신들이 이 세상에 계속 남아 있었으면 얼마나 좋겠어요."
,"……你是妮欧的意识投影，对吗？","...당신은 니오의 의식의 투영, 맞죠?"
,"……我已经习惯了。","…나는 이미 익숙해졌다."
,"……我愿意和你走。","당신과 함께 가겠어요."
,"……抱歉。","…죄송합니다."
,"……被你发现了。","…너에게 들켰다."
,"……谢谢你，妮欧。","…고마워요,니오."
,"「纽带」的指挥官","유니온의 지휘관"
,"下意识就这样做了。","무의식적으로 이렇게 했다."
,"不。","아니。"
,"不予理睬。","외면하다."
,"不会的，没关系。","아니야, 괜찮아."
,"不使用","사용하지 않음"
,"不想失去你。","당신을 잃고 싶지 않아요."
,"不是","아니다"
,"不是。","아니야."
,"不是你叫我走的吗？","가라고 하지 않았어?"
,"不用了","됐어요."
,"不用你亲自去，你搬点救兵来就行。","네가 직접 갈 필요 없어, 네가 구원병을 좀 옮겨오면 돼."
,"不用回来，专注于现在的战斗。","돌아올 필요 없이 현재의 전투에 전념하라."
,"不用担心，她并不坏。","걱정하지 마라, 그녀는 결코 나쁘지 않다."
,"不用拖延时间了。","시간을 끌 필요가 없다."
,"不知道你在说什么。","무슨 말을 하는지 모르겠다."
,"不祥预感应验得真快啊。","불길한 예감이 정말 빨리 들리네."
,"不能松懈，还有许多关键战场需要我们。","우리를 필요로 하는 중요한 전쟁터가 많다."
,"不行。","안돼요."
,"不要挑刺了。","흠집내지 마라."
,"不，我们有空。","아니오, 우리 시간 있어요."
,"不，能赢是因为「愤怒」之前就受损了。","아닙니다. 이길 수 있었던 것은 분노가 있기 전부터 손상됐기 때문입니다."
,"两小无猜的朋友。","두 어린 친구."
,"两者没有区别","양자는 차이가 없다"
,"为了救我，你连蕾拉和梅尔她们也……","나를 구하기 위해 당신은 레일라와 멜까지..."
,"为了自己喜欢的人……","좋아하는 사람을 위해서..."
,"为了自己守护的东西……","내가 지키는 것을 위해..."
,"为了自己想做的事……","하고 싶은 일을 위해서..."
,"为了自己的理想。","자신의 이상을 위하여."
,"为了自己重要的人。","자신을 위해 소중한 사람."
,"为了那些孩子，你还是换一份工作比较好。","그 아이들을 위해서 너는 직장을 옮기는 것이 좋겠다."
,"为了那名战士——","그 전사를 위하여——"
,"为什么不使用天基武器定点打击？","왜 천기무기를 사용해서 거점 타격하지 않습니까?"
,"为什么奥托露娜没有加入战场？","왜 오토루나는 전장에 가지 않았을까."
,"为什么要在这里喊修罗？！","왜 여기서 수라를 불러?!"
,"为什么要来海边呢？","왜 해변에 왔습니까?"
,"之前有看过偷飞机的教程。","이전에 비행기를 훔치는 교정을 본 적이 있다."
,"之后你们要一起加入「纽带」吗？","이후에 당신들은 함께 유니온을 넣어야 합니까?"
,"也不全是这个样子。","다 그런 것은 아니다."
,"也就是说……","그러니까..."
,"也就是说，“4号实验体”这名傀儡师和阵线有关吧？","'4호 실험체'라는 괴뢰사단이 전선과 관련돼 있다는 얘기죠?"
,"事情结束后我会说清楚的。","일이 끝난 후에 나는 분명히 말하겠다."
,"交给我吧。","나에게 맡겨라."
,"人好多啊，我要记不住了。","사람이 많아서 기억 못하겠어요."
,"人总有一死，我之后会为你报仇的。","사람이 죽으면 나중에 복수할 거야."
,"人类，不会停下。","인간은 멈추지 않는다."
,"什么意思？我并没有对妮欧开枪。","무슨 말이야? 난 니오를 쏘지 않았어."
,"今后也会是这个样子。","앞으로도 그럴 것이다."
,"以前是偶然拿起来用的。","옛날에는 우연히 들고 다녔어요."
,"伊莎贝尔委托我来帮你。","이자벨이 부탁해 널 도와줄게."
,"伊莎贝尔，停下。","이자벨, 멈춰라."
,"会不会是卖家忘了把红酒装进去？","혹시 판매자가 와인을 넣는 것을 잊은 것은 아닐까?"
,"会进化的傀儡，相当棘手啊。","진화하는 괴뢰, 상당히 까다롭습니다."
,"但是，将疑点击破才是到达真相的关键。","그러나 의혹을 해소하는 것이 진실에 도달하는 관건이다."
,"但是，我拒绝。","하지만, 나는 거절한다."
,"作为救你的报酬，你能答应我的一个请求吗？比如说……","너를 구하는 대가로 너는 나의 요구를 들어줄 수 있니?예를 들면..."
,"你不是已经满级了吗？","너는 이미 만렙이 되지 않았느냐?"
,"你不是阿尔玛？","너 알마 아니야?"
,"你也一样。","당신도 마찬가지입니다."
,"你也没打中嘛，难道你和我一样笨吗？","너도 맞추지 못했잖아, 설마 너도 나처럼 미련하단 말이냐?"
,"你以前不会说这种话","너는 이전에 이런 말을 할 줄 몰랐다."
,"你们为什么不和我们走呢？","너희는 왜 우리와 가지 않니?"
,"你们小心别被拆散了。","너희들 해체되지 않도록 조심해라."
,"你们真的帮了很多忙。","당신들은 정말 많은 도움을 주었습니다."
,"你们竟然还有心电感应？","당신들은 뜻밖에도 심전 감응을 했습니까?"
,"你刚刚为什么要叹气？","너 방금 왜 한숨을 쉬었어?"
,"你只是个小鬼。","너는 단지 꼬마일 뿐이다."
,"你叹了好长一口气啊。","긴 한숨을 쉬셨군요."
,"你在说什么？","무슨 말을 하는 거예요?"
,"你太傲慢了。","너는 너무 오만하다."
,"你好。","안녕하세요."
,"你好，莱莎小姐。","안녕하세요, 레사 양."
,"你如果死了，我会伤心的。","네가 만약 죽으면 나는 슬퍼질 것이다."
,"你姓奥托露娜？","당신의 성은 오토루나입니까?"
,"你对这个世界的印象如何？","당신은 이 세상에 대한 인상이 어떻습니까?"
,"你希望我给你个拥抱吗？","내가 안아주길 바라나요?"
,"你当时也没有杀死我。","당신은 그때도 나를 죽이지 않았어요."
,"你很厉害，你会活下去的。","너는 대단해, 너는 살아갈 거야."
,"你怎么不跟她们一起？","너는 왜 그녀들과 함께 있지 않니?"
,"你想利用妮欧的时间能力？","니오의 시간 능력을 이용하려고?"
,"你想干什么？","당신은 무엇을 하고 싶습니까?"
,"你想说什么？别打哑谜。","무슨 말을 하고 싶으세요? 벙어리 냉가슴 앓지 마세요."
,"你愿意和我喝一杯，分享些有趣故事吗？","너는 나와 술을 한 잔 마시며 재미있는 이야기를 나누기를 원하니?"
,"你是……？","당신은…?"
,"你是不是该学学怎么开玩笑了……","너 배워야지, 장난치지..."
,"你是人类。","당신은 인간입니다."
,"你是想跳槽吗？我愿意给你提薪。","당신은 이직하고 싶은 것입니까?나는 당신의 월급을 올리고 싶습니다."
,"你是意识载体。","당신은 의식의 운반체입니다."
,"你是梅瑞狄斯。","당신은 메리디스입니다."
,"你是谁？","너 누구야?"
,"你有什么目的？","당신은 무슨 목적이 있습니까?"
,"你果然在啊。","너 역시 있구나."
,"你死去了，你的亲人朋友都会伤心的。","네가 죽으면 너의 친척과 친구들이 모두 슬퍼할 것이다."
,"你死去了，我会伤心的。","네가 죽으면 내가 슬퍼질 거야."
,"你用多少钱雇的保镖？","당신은 경비원을 얼마에 고용했습니까?"
,"你留在这里才是真的不懂浪漫。","너는 이곳에 남아야 정말 낭만을 모르는구나."
,"你的维修费用很高，这次行动中你可以随时撤离。","너의 수리 비용은 매우 높으니,이번 행동에서는 언제든지 철수할 수 있다."
,"你知道纽带舰队的事？","너는 연대 함대의 일을 아느냐?"
,"你继续在我的舰船上才是个麻烦。","너는 나의 함선에 계속 있는 것이야말로 번거롭다."
,"你能不能找到其他魔法少女？","당신은 다른 마법 소녀를 찾을 수 있습니까?"
,"你能帮助我吗？","당신은 나를 도와줄 수 있습니까?"
,"你要怎么让奥托露娜来协助我们？","당신은 어떻게 오토루나가 우리를 돕도록 할 겁니까?"
,"你误会了……我也担心你。","니가 오해했어...나도 니가 걱정돼."
,"你说什么？！","뭐라고?!"
,"你说是，那就是吧。","그렇다, 그렇다, 그렇다."
,"你还有什么事？","너 또 무슨 일이 있니?"
,"你这是在诽谤我。","너는 지금 나를 비방하는 것이다."
,"使用","사용"
,"侍从","시종"
,"保持沉默。","침묵을 지키다."
,"保留它则傀儡就会被生产……","그대로 두면 괴뢰가 생산된다..."
,"信不信我拆了你！","믿거나 말거나 내가 널 헐었어!"
,"信息还不完整，之后的记录要更加细致。","정보가 불완전한 만큼 그 이후의 기록은 더욱 세밀해야 한다."
,"偶尔也想当一下你的骑士。","가끔 당신의 기사도 되고 싶습니다."
,"傀儡师莎兰娜，这个决定我来回答你。","괴뢰사 사레나, 이 결정은 내가 대답할게."
,"先撤回来吧，我们还有时间，还有机会。","먼저 철수해라, 우리에게는 아직 시간이 있고, 아직 기회가 있다."
,"先派出侦察队，如果情报属实，就在这里阻击傀儡。","먼저 정찰대를 파견하여 만약 정보가 사실이라면 이곳에서 괴뢰를 요격할 것이다."
,"克拉丽丝，为什么你给人感觉突然变了？","클라리스, 왜 갑자기 느낌이 달라졌어?"
,"关于某个AG遇袭事件的研究报告？","어떤 AG 피습 사건에 대한 연구보고?"
,"其实我也有点在意……","사실 나도 좀 신경 쓰이긴 했는데..."
,"其实我也蛮能打的。","사실 나도 꽤 잘 친다."
,"其实我还有——麻辣小鱼干。","사실 저에게는 마라피쉬도 있어요."
,"再确认一下首脑给我们的任务。","정상이 우리에게 준 임무를 다시 한번 확인하자."
,"冷静一些。","좀 냉정해."
,"出动，救援康德尔。","출동하여 콘도르을 구원하다."
,"出发吧。","출발하자."
,"刚才我只是做了正确的决定。","방금 나는 단지 정확한 결정을 했을 뿐이다."
,"别太放在心上，我想做一些力所能及的事。","너무 마음에 두지 마라,나는 할 수 있는 일을 하고 싶다."
,"别开玩笑了。","농담 그만하세요."
,"别紧张，我事先就调查过这里了。","긴장하지 마, 내가 사전에 여기를 조사했거든."
,"别谈论这个了……","이 이야기는 그만하고..."
,"别责怪蕾拉了，我来负起责任。","레이라 탓하지 마, 내가 책임질게."
,"到底谁才是指挥官啊……","누가 지휘관인가."
,"十分抱歉，没有脸见你们。","면목이 없어서 대단히 죄송합니다."
,"千早千岁，该你们了！","천추치토세, 너희 차례다!"
,"千真万确。","아주 확실하다."
,"半夜练武肯定有烦心事吧？","한밤중에 무술을 연습하면 틀림없이 걱정거리가 있겠지?"
,"卫星轨道","위성 궤도"
,"即使如此，我也感谢你。","그럼에도 불구하고, 나는 너에게 감사한다."
,"厄里芬，让傀儡师按我给出的路线移动。","에리펀, 괴뢰사단을 내가 제시한 대로 움직이게 하라."
,"原来如此。","그렇군요."
,"原来我们出名到连初中生都知道了。","알고 보니 우리는 중학생도 알 정도로 유명해졌다."
,"原来是你们给我加了一项技能……","알고 보니 너희들은 나에게 기능을 하나 더 추가해 주었구나."
,"去拯救大家。","모두를 구하라."
,"又有新角色？","또 다른 캐릭터?"
,"又见面了啊。","또 만났네요."
,"只是谬赞……","과찬일 뿐인데…"
,"只有侍从有房间的磁卡？","시종만 방이 있는 마그네틱 카드?"
,"可以，「纽带」也会加入会议。","네, 「고대」도 회의에 가입할 수 있습니다."
,"可以，但我并不是专业的侦探。","네, 하지만 전문 탐정은 아닙니다."
,"吃一顿好的","좋은 것을 한 끼 먹다"
,"各位，久等了。","여러분, 오래 기다리셨습니다."
