Confirmed, Source, KOR
,"“コンドル”","“콘도르”"
,"……","……"
,"「コンドル」","「콘도르」"
,"「纽带」舰队再次接触","유니온 함대 다시 접촉"
,"あやめ","아야메"
,"お腹が痛そうな患者","배가 아파 보이는 환자"
,"かつての強敵達","예전의 강적들"
,"きっぱりした声","단호한 목소리"
,"ふたり","두 사람"
,"ぷに","뿌니"
,"ぷにニャンボー","뿌니캣볼"
,"ぺぺ","페페"
,"ぼんやりした声","희미한 목소리"
,"ぼんやりと聞こえる声","어렴풋이 들리는 목소리"
,"もうひとりの学生記者","또 한 명의 학생 기자"
,"アイビー","아이비"
,"アイビー&クイン","아이비&퀸"
,"アイビー&グレイ","아이비&그레이"
,"アイリ―","아이리"
,"アイリー","아이리"
,"アカシア","아카시아"
,"アカシア&ベニー","아카시아&베니"
,"アスター","아스타"
,"アダラ","아델라"
,"アトラス","아틀라스"
,"アラメイン将軍","앨러메인 장군"
,"アリス","앨리스"
,"アリスの声","앨리스의 목소리"
,"アリス&ニナ","앨리스&니나"
,"アルマ","알마"
,"アルマ？","알마?"
,"アンジェリカ","안제리카"
,"アンジェリカの母親","안젤리카의 어머니"
,"アンタレス","안타레스"
,"アンディ","안디"
,"アンナ・オートルナ","안나 오토루나"
,"イザベル","이자벨"
,"イザベルのメッセージ","이자벨의 메시지"
,"イザベル＆シャーロッテ","이자벨&샤롯데"
,"イスム","이스무"
,"イベリス","이베리스"
,"ウィニー","위니"
,"ウサギ耳のAG","토끼귀의 AG"
,"ウサギ耳型のレシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"ウサギ耳型レシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"エリア","에리어"
,"エリカ","에리카"
,"エリカの両親","에리카의 부모"
,"エリカの母","에리카의 어머니"
,"エリカの父","에리카의 아버지"
,"エリカ？","에리카?"
,"エリカ&ニナ&アリス","에리카&니나&앨리스"
,"エリソン看護師","엘리슨 간호사"
,"エルフィン","엘핀"
,"オネアン","오네안"
,"オートルナの検察官","오토루나 검사"
,"オートルナの通信員","오토루나 통신원"
,"オートルナの騎士達","오토루나 기사들"
,"オートルナ公式報道","오토루나 공식 보도"
,"オートルナ放送","오토루나 방송"
,"カペラ","카펠라"
,"カペラ&ニオ","카펠라&니오"
,"カラスの外見のAG","까마귀 외모의 AG"
,"カラス外見のAG","까마귀 외모의 AG"
,"カラン","카란"
,"カルミア","카르미아"
,"カルミア＆ローレル","칼미아&로렐"
,"カロライン","카롤라인"
,"カンナ","칸나"
,"カンナの声","칸나의 목소리"
,"キキ","키키"
,"キキ、","키키,"
,"キャシー","캐시"
,"キャシーの声","캐시의 목소리"
,"キャノン！！","캐논!!"
,"キャプテン","캡틴"
,"キャプテン？","캡틴?"
,"クイン","퀸"
,"クインの声","퀸의 목소리"
,"クヌーズ","쿠누즈"
,"クヌーズの声","크누즈의 목소리"
,"クヌーズ&クイン","크누즈&퀸"
,"クラウディア","클라우디아"
,"クラウディア・バレンツ","클라우디아 바렌츠"
,"クラスメイト","클래스메이트"
,"クラリス","쿠라리스"
,"クラリスに変装したAG","클라리스로 변장한 AG"
,"クラリスの声","클라리스 목소리"
,"クラリスの音声","클라리스 음성"
,"クラークオクト","크라크옥트"
,"クラーケン","쿠라켄"
,"クリーム","크림"
,"クリームの母親","크림 어머니"
,"クリームの父親","크림 아버지"
,"クローン体達","클론체들"
,"グリア","그리어"
,"グレイ","그레이"
,"グレイの声","그레이 목소리"
,"グレイ&ハスター","그레이 앤 해스터"
,"グレー","그레이"
,"グレース","그레이스"
,"ケイティ","케이티"
,"ケイティの声","케이티의 목소리"
,"ケイトリン","케이틀린"
,"ケンタウルス型傀儡","켄타우루스형 괴뢰"
,"ゲゼッツ","게젯쯔"
,"ココア","코코아"
,"コフィントーチャー","코핀토챠"
,"コラックス","코랏쿠스"
,"コンドル","콘도르"
,"コンドルの記憶の中の研究員","콘도르의 기억 속의 연구원"
,"コヴィー","코비"
,"ゴシップ編集者","가십 편집자"
,"ゴシップ編集者A","가십 편집자 A"
,"ゴシップ編集者B","가십 편집자 B"
,"ゴヤ","고야"
,"ゴースト","고스트"
,"ゴースト&ファンタム","고스트&팬텀"
,"サカブラ","사카부라"
,"サソリ型の機体","전갈형 기체"
,"サリナ","사리나"
,"サリナ＆セレナ","사리나&세레나"
,"サングラスをかけた女性","선글라스를 낀 여자"
,"ザ・サクラ？","더 사쿠라?"
,"ザ・フレーム？","더프레임?"
,"システム","시스템"
,"システムメッセージ","시스템 메시지"
,"シャーロッテ","샤롯테"
,"シャーロッテ＆シルビア","샤롯데&실비아"
,"シリウス","시리우스"
,"シリウス&モリス","시리우스&모리스"
,"シルビア","실비아"
,"シルビア＆シャーロッテ","실비아&샤롯데"
,"シルビア(米尔维斯→西尔维娅のミスタイプ？)","실비아(美 斯斯→西 シル の의 오형?)"
,"シルヴィア","실비아"
,"シンディ","신디"
,"ジアジア","지아지아"
,"ジェシー","제시"
,"ジェシー&ディーン","제시 & 딘"
,"ジェシー&舞華","제시 & 마이카"
,"スティレット","스틸레토"
,"スパイダー達","스파이더들"
,"スリエル","수리엘"
,"セキュリティシステム","보안 시스템"
,"セルリアン","세루리안"
,"セレナ","세레나"
,"ゼロヨン","제로욘"
,"ゼロヨン＆ニオ","제로욘&니오"
,"ソニア","소니아"
,"ソーヤー","소여"
,"タカの外見のAG","매의 외모를 가진 AG"
,"ダイアナ","다이애나"
,"ダンス教師","댄스 교사"
,"ダークディープ","다크딥"
,"チェーン","체인"
,"チェーンソーのAG","전기 톱의 AG"
,"チョコニャンボー","쵸코캣볼"
,"チンピラ","깡패"
,"ティアンテ","티안테"
,"ティノノ","티노노"
,"ティミー","티미"
,"テスト","테스트"
,"テナック市の民衆","테낙시의 민중"
,"テナック市民","테낙 시민"
,"ディーン","딘"
,"ディーン＆舞華","딘&마이카"
,"ディーン&リジット","딘&리짓토"
,"デラ","델라"
,"デラ達3人","델라들 세 사람"
,"デラ＆トイフェル","델라&토이펠"
,"デラ＆ユウイ","델라&유우이"
,"トイフェル","토이펠이"
,"トニー","토니"
,"トニー＆アンディ","토니&앤디"
,"トニー＆アンディ＆メル","토니&앤디&멜"
,"トニー(レラ？)","토니(렐라?)"
,"トリー","토리"
,"ナナ","나나"
,"ナレーション","나레이션"
,"ニオ","니오"
,"ニオ、ゼロヨン","니오, 제로영"
,"ニオの前意識","냄새의 전의식"
,"ニオの声","니오의 목소리"
,"ニオの顕在意識","냄새의 표면 의식"
,"ニオ達","니오달"
,"ニオ＆ゼロヨン","니오&제로욘"
,"ニオ？","니오?"
,"ニオ&レラ","니오&렐라"
,"ニオ(指揮官？)","니오 (지휘관?)"
,"ニナ","니나"
,"ニナのナレーション","니나의 내레이션"
,"ニナ？","니나?"
,"ニャンボー","캣볼"
,"ニャンボー大統領","캣볼 대통령"
,"ニャンボー玉","캣볼 구슬"
,"ニュース","뉴스"
,"ネイサ","네이사"
,"ネプチューン家当主","넵튠가 당주"
,"ネモフィラ","네모필라"
,"ハスター","하스타"
,"ハスターの声","해스터의 목소리"
,"ハラルド","해럴드"
,"ハーピスト","하피스트"
,"バーのオーナー","바의 주인"
,"バーの人達","바 사람들"
,"バーの常連客","바의 단골손님"
,"バーの常連客達","바의 단골 손님들"
,"バーゼラルド","바제랄드"
,"バーナード元帥","버나드 원수"
,"パヴォニス","파보니스"
,"ヒアリン","히아린"
,"ビクトリア","빅토리아"
,"ピエロのAG","어릿광대의 AG"
,"ピューリファイヤ達","퓨리파이어들"
,"ピンク髪の少女","핑크 머리의 소녀"
,"ファイアストーマイナー隊員","파이어스토 마이너 대원"
,"ファイアストーマイナー隊員A","파이어스토 마이너 대원 A"
,"ファイアストーマイナー隊員B","파이어스토 마이너 대원 B"
,"ファイアストーマイナー隊員C","파이어스토 마이너 대원 C"
,"ファイアストーマイナー隊員D","파이어스토 마이너 대원 D"
,"ファイアストーマイナー隊員E","파이어스토 마이너 대원 E"
,"ファイストショップ","파이스트 숍"
,"ファンタム","팬텀"
,"フィル","필"
,"フィーディ","피디"
,"フィービィー","피비"
,"フィービー","피비"
,"フィール","필"
,"フゥライ","후라이"
,"フゥライ&シンディ","후라이&신디"
,"フェリエル","페리엘"
,"フェーディ","페이디"
,"フェーディたち","페이디들"
,"フェーディ＆シンディ","페이디&신디"
,"フォクシ","폭시"
,"フォーレンナイト","포렌나이트"
,"フロンティアの重装型AG","프런티어 중장형 AG"
,"フロンティアのAG","프런티어의 AG."
,"フロンティアイーグル","프런티어이글"
,"フロンティア兵士","프런티어 병사"
,"フロンティア士官","프런티어 사관"
,"フロンティア重装型","프런티어 중장형"
