Confirmed, Source, KOR
,"……ありがとう、ニオ。","……고마워, 니오."
,"……ダメだ、私には私の判断がある。","……안돼, 나에게는 내 판단이 있어."
,"……仇は必ず討つ。","……원수는 반드시 갚는다."
,"……君に任せよう、ミルヴァス。","……군에게 맡기자, 밀버스."
,"……気付いてたの。","…… 눈치채고 있었어."
,"■■·■■をあきらめる","■■·■■을 포기하다"
,"「オートランド号」の航行距離は0なんだね","오토랜드호의 항행거리는 0이구나"
,"「ユニオン」は特殊な艦隊だと聞いたけど。","'유니온'이 특수한 함대라고 들었는데"
,"「被験体4号」とフロンティアに間に何かあるのかな？","'피험체 4호'와 프런티어 사이에 뭐가 있나?"
,"ああ……他に……その権限のある者はいないからね","아아……달리…그 밖에…그 권한이 있는 사람은 없으니까."
,"ああ、そうだ。","아, 맞다."
,"ああ。","아아."
,"あきらめなよ、レラ。","포기해, 렐라"
,"あとは二人の魔法少女に任せよう。","이제 두 마법소녀에게 맡기자."
,"あなたは誰です？","당신은 누구입니까?"
,"あの、なんだか我々をじっと見詰めている視線を感じるんだけど……","왠지 우리를 응시하고 있는 시선을 느끼는데……"
,"ありがとう……カペラ。","고마워요…… 카펠라."
,"ありがとう、クイン、ディーン。","고마워 퀸 딘"
,"ありがとう。","고마워요."
,"いいでしょう、「ユニオン」も会議に参加します。","좋습니다, “유니온”도 회의에 참석할 겁니다."
,"いいや、大丈夫だよ。","아니야, 괜찮아."
,"いや、勝利したのは「憤怒」がすでに損傷していたからだよ。","아니, 승리한 것은 분노가 이미 손상됐기 때문."
,"いやいや、こちらこそよろしくお願いします。","아니, 저야말로 잘 부탁드립니다"
,"うわ、また戦闘狂が出たな……","우와, 또 전투광이 나왔군……."
,"うん、はっきりとね。","응, 확실해."
,"うん。よろしくね、ライザ。","응 잘 부탁해 라이자"
,"え？私は君たちの感情の交流をもっと見ていたいんだけど。","어? 난 너희들의 감정 교류를 더 보고 싶은데."
,"おはよう、ゼロ――","안녕, 제로---"
,"おはよう、ニオ。","안녕, 니오."
,"おはよう、メル。","안녕, 멜."
,"おはよう、レラ。","안녕, 렐라."
,"こちらにも考えがあるんだ。","이쪽에도 생각이 있구나"
,"これはどう見てもワナだよ。","이거 딱 봐도 함정인데?"
,"こんなことをするなんて思いもしなかったな……","이런 짓을 할줄은 생각도 못했네..."
,"こんな突然にか！？","이렇게 갑자기?"
,"こんな見え見えの釣り針に食いつく気か？","이런 뻔한 낚싯바늘에 대들 생각이야?"
,"こんにちは。","안녕하세요"
,"さあ、人類の反撃の時だ。","자, 인류의 반격 때다."
,"さっき、どうして溜息を？","아까 왜 한숨을 쉬어?"
,"すまない……","미안하다..."
,"そう。過去から未来、そして異世界……すべて同じだよ。","그래. 과거로부터 미래, 그리고 이세계……모두 똑같아."
,"そういえば、どうして海に？","그러고 보니 왜 바다에?"
,"そうだ、と言ったら？","그렇다, 라고 말을 하면요?"
,"そうだね。どこかの島でも占領してのんびりしようか。","그래, 어느 섬이나 점령하고 한가로이 지낼까."
,"そうはいかないよ。戦いはまだまだこれからだ。","그럴 수는 없지.싸움은 아직 지금부터다."
,"その名前、なんだか聞いたことがあるな。","그 이름 어쩐지 들어본 적이 있네."
